ELCODE_BCD,sp_code_calc
AMABB03010,parabrew
AMABB04010,scalaqua
AMABB05010,condcris
AMABB05011,condcrisparv
AMABB05012,condcriscris
AMACC01030,myotaust
AMACC01130,myotleib
AMACC02010,lasinoct
AMACC04010,eptefusc
AMACC05010,lasibore
AMACC05020,lasisemi
AMACC05030,lasicine
AMACC05040,lasiinte
AMACC06010,nycthume
AMACC08010,corytown1
AMACC08020,coryrafi1
AMACC08021,coryrafirafi
AMACD01010,tadabras
AMAEB01030,sylvpalu
AMAEB01040,sylvflor
AMAEB01042,sylvflorhitc
AMAEB01044,sylvflorflor
AMAEB01090,sylvobsc
AMAEB03050,lepucali
AMAFB02230,tamistri
AMAFB03010,marmmona
AMAFB07010,sciucaro
AMAFB07040,sciunige
AMAFB07042,sciunigecine
AMAFB07045,sciunigenige
AMAFB08040,tamihuds
AMAFB09010,glauvola
AMAFB09030,glausabr
AMAFE01010,castcana
AMAFF01040,oryzpalu
AMAFF02020,reithumu
AMAFF03040,peromani
AMAFF03070,peroleuc
AMAFF03072,peroleuceast
AMAFF03074,peroleucleuc
AMAFF03080,perogoss
AMAFF04010,ochrnutt
AMAFF07010,sigmhisp
AMAFF08100,neotmagi
AMAFF09020,cletgapp
AMAFF11010,micrpenn
AMAFF11090,micrchro1
AMAFF11150,micrpine
AMAFF15010,ondazibe
AMAFF17010,synacoop
AMAFF17011,synacoophela
AMAFF17014,synacoopcoop
AMAFF21010,rattratt
AMAFF21020,rattnorv
AMAFF22010,musmusc
AMAFH01010,zapuhuds
AMAFH02010,napainsi
AMAFJ01010,eretdors
AMAFK01010,myoccoyp
AMAGA02020,mesodens
AMAGA02030,mesoeuro
AMAGA02040,mesomiru
AMAGA03010,ziphcavi
AMAGB02010,kogibrev
AMAGB02020,kogisimu
AMAGC01010,physmacr
AMAGE01050,stencoer
AMAGE01060,stenfron
AMAGE02010,stenbred
AMAGE03010,delpdelp
AMAGE04010,turstrun
AMAGE08010,gramgris
AMAGE10010,globmela
AMAGE10020,globmacr
AMAGE14010,leucacut
AMAGF01010,phocphoc
AMAGH01010,balaphys
AMAGH01020,balabore
AMAGH01030,balaacut
AMAGH01040,balamusc
AMAGH01050,balaeden
AMAGH02010,meganova
AMAGJ02010,eubaglac
AMAJA01010,canilatr
